parameter_search_idx	min_test_merror_mean	min_test_merror_std	min_test_merror_mean_idx	max_test_accuracy_mean
0	0.24440587425919763	0.005919656450770831	73	0.7555941257408023
1	0.24099211309657634	0.0061868348555265545	65	0.7590078869034237
2	0.23852747825930556	0.005876393725368932	74	0.7614725217406945
3	0.2408025396368607	0.008244911703757365	69	0.7591974603631393
4	0.24080325908073058	0.0028165370684154417	76	0.7591967409192695
5	0.25161182406000165	0.004355113459117655	98	0.7483881759399984
6	0.24156245222443054	0.0076647670231543945	67	0.7584375477755695
7	0.2371999244583937	0.0066900458971637265	93	0.7628000755416063
8	0.3056499725712024	0.00565260304603387	33	0.6943500274287976
9	0.24421594107754702	0.0051319452961913125	53	0.7557840589224529
10	0.2523697581769292	0.010294276152170656	45	0.7476302418230708
11	0.29711736827432395	0.0089448665961389	99	0.702882631725676
12	0.23796127593370323	0.011484303201666319	91	0.7620387240662968
13	0.24023579772835596	0.0060396801358529794	98	0.759764202271644
14	0.2411825858611293	0.004057625253371783	68	0.7588174141388707
15	0.23644145075856363	0.00680091265331872	72	0.7635585492414364
16	0.2472491164329973	0.008796675928002139	64	0.7527508835670027
17	0.23644127089759617	0.007827348396447454	73	0.7635587291024039
18	0.2705734866947849	0.005425112035935326	96	0.7294265133052151
19	0.23663174366214917	0.011046657986274399	68	0.7633682563378508
20	0.2408023597758932	0.004483305407768053	99	0.7591976402241067
21	0.24004280691025834	0.009130833530960914	78	0.7599571930897416
22	0.23985377303344518	0.009369553510461981	55	0.7601462269665549
23	0.2389075244835742	0.010932129935911094	96	0.7610924755164258
24	0.24137341834761733	0.0049961230336725854	98	0.7586265816523827
25	0.2387197496335333	0.007053740597227607	73	0.7612802503664667
26	0.23378832162738203	0.01089811227885573	72	0.7662116783726179
27	0.23871723157998867	0.008933478860360314	68	0.7612827684200113
28	0.23815102925438633	0.00794389975240767	99	0.7618489707456136
29	0.3200577353705586	0.013677978058796647	17	0.6799422646294414
30	0.23909565905555005	0.011656519665486545	77	0.7609043409444499
31	0.228668039605385	0.008856463985150387	97	0.7713319603946149
32	0.2603331025117584	0.007946290510576486	99	0.7396668974882417
33	0.24478502117862894	0.007639859480906011	84	0.7552149788213711
34	0.23776954414237794	0.007524214672194242	94	0.7622304558576221
35	0.2427007922875617	0.003977026073159139	98	0.7572992077124383
36	0.28043220590483553	0.01060946686946004	99	0.7195677940951645
37	0.23037456046476076	0.007484944136680492	97	0.7696254395352392
38	0.2364416306195311	0.006619400194344262	96	0.7635583693804688
39	0.2445965268847181	0.001749599629646974	98	0.7554034731152819
40	0.2372017230680684	0.005960366421241943	94	0.7627982769319316
41	0.2637472233963146	0.003703962718890453	99	0.7362527766036854
42	0.24800902902056707	0.009411629266107143	98	0.7519909709794329
43	0.24307957948505807	0.01274542308477287	78	0.7569204205149419
44	0.23719830570968642	0.011923813019640997	79	0.7628016942903135
45	0.23587362968425407	0.008192738530696284	98	0.7641263703157459
46	0.23663426171569374	0.009090319603612161	75	0.7633657382843062
47	0.23947786361142837	0.009520227942258645	75	0.7605221363885717
48	0.242318048148781	0.012475439737924763	74	0.757681951851219
49	0.24440659370306755	0.007872959160531762	70	0.7555934062969325
50	0.2411824060001619	0.004047242888217399	99	0.7588175939998381
51	0.23871885032869594	0.009872348147006795	90	0.7612811496713041
52	0.24080559727330772	0.00749404377374444	79	0.7591944027266923
53	0.24023705675512827	0.006492167903269886	97	0.7597629432448717
54	0.28081189240716925	0.008218417116242606	78	0.7191881075928308
55	0.24213045315970755	0.008719861235528245	95	0.7578695468402925
56	0.23985593136505484	0.003647653836217981	45	0.7601440686349452
57	0.23587255051844921	0.006713602812954879	85	0.7641274494815508
58	0.2423223648120003	0.007647335087231523	97	0.7576776351879997
59	0.23625151757691304	0.013658602193309676	90	0.7637484824230869
60	0.26450587695711214	0.0077029097423458245	99	0.7354941230428879
61	0.24289108519114722	0.009839187552850143	73	0.7571089148088528
62	0.23890914323228146	0.01352157558710329	97	0.7610908567677186
63	0.23397717564322784	0.005852848377497982	79	0.7660228243567722
64	0.2529409966096207	0.008271616144217614	97	0.7470590033903792
65	0.24345710765578205	0.006500452366328888	52	0.7565428923442179
66	0.23890644531776933	0.006813298739398354	85	0.7610935546822306
67	0.240044965241868	0.006133030768831374	73	0.759955034758132
68	0.23947498583594878	0.01000272604771486	55	0.7605250141640512
69	0.23473475003822042	0.013794027918350832	99	0.7652652499617796
70	0.2377690045594755	0.005776463621412937	98	0.7622309954405245
71	0.26052411485921384	0.0076897639483057495	97	0.7394758851407861
72	0.25047222497009813	0.010723310603144617	44	0.7495277750299019
73	0.23303002778851947	0.007054284666392058	96	0.7669699722114806
74	0.23796055648983336	0.00817567618128912	99	0.7620394435101666
75	0.23757943109975987	0.008111740528333666	77	0.7624205689002401
76	0.2317017545437377	0.006975584369332324	79	0.7682982454562624
77	0.23871759130192363	0.004663970526878919	99	0.7612824086980764
78	0.24156407097313776	0.008386980518117931	99	0.7584359290268623
79	0.24364704083743263	0.003958130493562096	76	0.7563529591625674
80	0.24592390082466253	0.0056641242913558765	98	0.7540760991753375
81	0.25540617102979396	0.009813970853462367	98	0.7445938289702061
82	0.2296155471820283	0.00914285148377158	89	0.7703844528179717
83	0.23720082376323098	0.010343001173182995	47	0.762799176236769
84	0.23985503206021747	0.0065627931853275544	65	0.7601449679397825
85	0.24194249844869917	0.006473549244940978	55	0.7580575015513008
86	0.23435776145039888	0.01038486527880387	70	0.7656422385496011
87	0.23416692896391086	0.006569727263535021	95	0.7658330710360891
88	0.2324609476874376	0.012258583304007883	80	0.7675390523125624
89	0.24023381925771375	0.010277166197461855	64	0.7597661807422862
90	0.233975736755488	0.007966100767901236	99	0.766024263244512
91	0.24706026241715154	0.005734599649099586	99	0.7529397375828485
92	0.2502848098419922	0.006875278738137245	58	0.7497151901580078
93	0.24194303803160158	0.007615362078854122	44	0.7580569619683984
94	0.22980655952948373	0.0061583441319568765	99	0.7701934404705163
95	0.24023651717222588	0.01089852034917783	63	0.7597634828277742
96	0.2445965268847181	0.006553806994545954	81	0.7554034731152819
97	0.23928487279333077	0.013641351170337691	55	0.7607151272066692
98	0.2741752025684146	0.005667429576451644	99	0.7258247974315855
99	0.24099193323560889	0.008505134473538175	86	0.7590080667643911
100	0.24232056620232562	0.007396709684334007	53	0.7576794337976744
101	0.2717112871750137	0.006570483630075277	99	0.7282887128249863
102	0.26128132953227157	0.0019840473023352415	99	0.7387186704677284
103	0.2351147962624891	0.0052900340593585605	97	0.7648852037375109
104	0.23454751477108196	0.007378280634664303	84	0.7654524852289181
105	0.23587219079651428	0.010296154780267824	66	0.7641278092034858
106	0.245733607921077	0.011023500735577549	63	0.754266392078923
107	0.24251049938397617	0.005574625855814131	56	0.7574895006160238
108	0.25407735820210975	0.005783043862791645	98	0.7459226417978903
109	0.23284045432880385	0.008926376880205235	99	0.7671595456711962
110	0.2356842360855059	0.008609369975635465	81	0.7643157639144941
111	0.2389057258738995	0.009292741172702214	98	0.7610942741261005
112	0.23663246310601904	0.01255314996391783	83	0.763367536893981
113	0.24857649037294172	0.008981204240341387	47	0.7514235096270583
114	0.24668057591481785	0.009623439972383676	46	0.7533194240851822
115	0.2415617327805606	0.011046095117197152	91	0.7584382672194394
116	0.23681771990251535	0.01526183046439079	86	0.7631822800974847
117	0.28687824311806975	0.012778030350114164	98	0.7131217568819302
118	0.2364428896463034	0.008143450670279674	99	0.7635571103536967
119	0.24421809940915673	0.004332412283380685	61	0.7557819005908433
120	0.24535320197487342	0.008055537979036327	62	0.7546467980251266
121	0.23625205715981545	0.008387805262870732	95	0.7637479428401845
122	0.24288964630340745	0.008570209581063738	74	0.7571103536965925
123	0.24004622426864036	0.005760985770043851	96	0.7599537757313597
124	0.2389069849006718	0.004637783652414708	97	0.7610930150993283
125	0.27000440659370306	0.004079321699510088	99	0.7299955934062969
126	0.23947588514078616	0.01578749507508177	79	0.7605241148592139
127	0.24270133187046414	0.007992979658837898	72	0.7572986681295358
128	0.24440659370306755	0.0076177618310275235	89	0.7555934062969325
129	0.24838763635709596	0.00379359372296156	98	0.7516123636429041
130	0.24232092592426055	0.011511351776113296	81	0.7576790740757394
131	0.24326555572542427	0.010056695960355163	51	0.7567344442745757
132	0.24099409156721854	0.00786459187753592	85	0.7590059084327815
133	0.23359712941895916	0.008031889053074618	91	0.7664028705810408
134	0.23587344982328656	0.01088254550492279	94	0.7641265501767134
135	0.23644073131469376	0.010170611504215514	87	0.7635592686853062
136	0.23322139985790985	0.007474399504837486	98	0.7667786001420902
137	0.2440252884520266	0.00986804188437577	65	0.7559747115479734
138	0.2445945484140759	0.008151573642714117	68	0.7554054515859241
139	0.2364416306195311	0.011293902074899694	83	0.7635583693804688
140	0.26507477719722655	0.004558231455690584	99	0.7349252228027734
141	0.25369893072654837	0.0068830321903583175	99	0.7463010692734516
142	0.2468706889574359	0.00700537181123388	80	0.7531293110425641
143	0.23928307418365602	0.010951555593053604	64	0.760716925816344
